ID	Headword	Headword IAST	Slug	Letter	Grammar	Num Definitions	Num References	Num CrossRefs
ayamabhaipa-ra-ya	अयमभिप्रायः	ayamabhaipa्raāyaḥ	ayamabhaipa-ra-ya	अ		0	1	0
ba-hada-ra-a-yakaopanai-ata	बृहदारण्यकोपनिषत्	baṛhadaāraṇa्yakaopanaiṣata्	ba-hada-ra-a-yakaopanai-ata	ब		0	1	0
pa-raka-a-dai	प्रकाशादि	pa्rakaāśaādai	pa-raka-a-dai	प		6	0	0
a-ata-vama	अंशत्वम्	aṃśata्vama्	a-ata-vama	अ		1	0	0
tau	तु	tau	tau	त		2	1	0
a-abhaeda	अंशभेदः	aṃśabhaedaḥ	a-abhaeda	अ		0	0	0
a-ra-paau-a-karae	श्रीपौष्करे	śa्raīpaauṣa्karae	a-ra-paau-a-karae	श		0	0	0
a-a-dhaikara-ama	अंशाधिकरणम्	aṃśaādhaikaraṇama्	a-a-dhaikara-ama	अ		0	0	0
upapada-yaetae	उपपद्येते	upapada्yaetae	upapada-yaetae	उ		0	0	0
a-a-vata-ra	अंशावतारः	aṃśaāvataāraḥ	a-a-vata-ra	अ		0	1	0
a-aena	अंशेन	aṃśaena	a-aena	अ		0	0	0
a-a-vata-ra-a	अंशावतीर्णः	aṃśaāvataīra्ṇaḥ	a-a-vata-ra-a	अ		0	0	0
a-a-a-vata-ra	अंशांशावतारः	aṃśaāṃśaāvataāraḥ	a-a-a-vata-ra	अ		0	1	0
a-a-aita-vama	अंशांशित्वम्	aṃśaāṃśaita्vama्	a-a-aita-vama	अ		0	0	0
laaukaika-laaukaikava-yavaha-rasa-dha	लौकिकालौकिकव्यवहारसाधा	laaukaikaālaaukaikava्yavahaārasaādhaā	laaukaika-laaukaikava-yavaha-rasa-dha	ल		0	0	0
a-a	अंशः	aṃśaḥ	a-a	अ		0	0	0
na-na-va-yapadae-a-ta	नानाव्यपदेशात्	naānaāva्yapadaeśaāta्	na-na-va-yapadae-a-ta	न		0	0	0
ca	च	ca	ca	च		0	0	0
ekae	एके	ekae	ekae	ए		0	0	0
da-a	दाशाः	daāśaāḥ	da-a	द		0	0	0
ka-taiva	क्तिवाः	ka्taivaāḥ	ka-taiva	क		0	0	0
sa-ra-a-a-ta-va	स्रष्टृत्व	sa्raṣa्ṭaṛta्va	sa-ra-a-a-ta-va	स		0	0	0
sa-ja-yata-va	सृज्यत्व	saṛja्yata्va	sa-ja-yata-va	स		0	0	0
naiyana-ta-ta-va	नियन्तृत्व	naiyana्taṛta्va	naiyana-ta-ta-va	न		0	0	0
naiya-ma-yata-va	नियाम्यत्व	naiyaāma्yata्va	naiya-ma-yata-va	न		0	0	0
tadaupa-sakata-va	तदुपासकत्व	tadaupaāsakata्va	tadaupa-sakata-va	त		0	0	0
daura-bhaika-a	दुर्भिक्षः	daura्bhaika्ṣaḥ	daura-bhaika-a	द		0	0	0
pa-ra-gauka-tanaiyana-ta-ta-va	प्रागुक्तनियन्तृत्व	pa्raāgauka्tanaiyana्taṛta्va	pa-ra-gauka-tanaiyana-ta-ta-va	प		0	0	0
caeta	चेत्	caeta्	caeta	च		0	0	0
avayava	अवयवा	avayavaā	avayava	अ		0	0	0
bha-va	भावः	bhaāvaḥ	bha-va	भ		0	0	0
ra-thaika-ata-va	आर्थिकांशत्व	āra्thaikaāṃśata्va	ra-thaika-ata-va	आ		0	1	0
akama	अकम्	akama्	akama	अ		0	0	0
ka	कं	kaṃ	ka	क		0	0	0
akama-pana-yata-vama	अकम्पनीयत्वम्	akama्panaīyata्vama्	akama-pana-yata-vama	अ		0	0	0
kara-a	करणं	karaṇaṃ	kara-a	क		0	1	0
akara-ta	अकर्ता	akara्taā	akara-ta	अ		1	0	0
akara-ma	अकर्म	akara्ma	akara-ma	अ		2	0	0
akara-mava-a-yata-ta-rama	अकर्मवश्यत्त्रम्	akara्mavaśa्yata्ta्rama्	akara-mava-a-yata-ta-rama	अ		1	0	0
ao-a-akala-a-na-ya	षोडशकलाशून्यः	ṣaoḍaśakalaāśaūna्yaḥ	ao-a-akala-a-na-ya	ष		0	0	0
akala-panama	अकल्पनम्	akala्panama्	akala-panama	अ		0	0	0
kala-pana	कल्पनं	kala्panaṃ	kala-pana	क		0	1	0
aka-ma	अकामः	akaāmaḥ	aka-ma	अ		2	1	0
aka-maka-ra	अकामकारः	akaāmakaāraḥ	aka-maka-ra	अ		0	0	0
aka-maca-ra	अकामचारः	akaāmacaāraḥ	aka-maca-ra	अ		2	0	0
gau-a-a-akama	गुणाष्टकम्	gauṇaāṣa्ṭakama्	gau-a-a-akama	ग		0	0	0
aka-mahata	अकामहतः	akaāmahataḥ	aka-mahata	अ		2	0	0
aka-yama	अकायम्	akaāyama्	aka-yama	अ		0	0	0
aka-ra	अकारः	akaāraḥ	aka-ra	अ		1	0	0
aka-rapa-ra-avasa-ma-na-dhaikara-a-yama	अकारप्रणवसामानाधिकरण्यम्	akaārapa्raṇavasaāmaānaādhaikaraṇa्yama्	aka-rapa-ra-avasa-ma-na-dhaikara-a-yama	अ		0	0	0
laka-a-ma-sama-bana-dhava-ya-a-jakata-vama	लक्ष्मीसम्बन्धव्यञ्जकत्वम्	laka्ṣa्maīsama्bana्dhava्yaña्jakata्vama्	laka-a-ma-sama-bana-dhava-ya-a-jakata-vama	ल		0	0	0
aka-ra-ra-tha	अकारार्थः	akaāraāra्thaḥ	aka-ra-ra-tha	अ		1	0	0
bhagavata	भगवता	bhagavataā	bhagavata	भ		0	0	0
tadauka-tama	तदुक्तम्	tadauka्tama्	tadauka-tama	त		0	0	0
aka-ra-yasa-yaoga	अकार्यसंयोगः	akaāra्yasaṃyaogaḥ	aka-ra-yasa-yaoga	अ		0	0	0
aka-laka-la-yama	अकालकाल्यम्	akaālakaāla्yama्	aka-laka-la-yama	अ		0	0	0
sa-ya-ta	स्यात्	sa्yaāta्	sa-ya-ta	स		0	0	0
akai-a-cana	अकिश्चनः	akaiśa्canaḥ	akai-a-cana	अ		1	0	0
anana-yasa-dhanata-vara-pamaita-yabhaipa-ra-yae-a-ha	अनन्यसाधनत्वरूपमित्यभिप्रायेणाह	anana्yasaādhanata्varaūpamaita्yabhaipa्raāyaeṇaāha	anana-yasa-dhanata-vara-pamaita-yabhaipa-ra-yae-a-ha	अ		2	0	0
akau-a-havaikau-a-hadhai-a-a-ya	अकुण्ठविकुण्ठधिष्ण्यः	akauṇa्ṭhavaikauṇa्ṭhadhaiṣa्ṇa्yaḥ	akau-a-havaikau-a-hadhai-a-a-ya	अ		0	0	0
aka-kau-a-haita-kha-a-asaukha-ta-mabaodha	अक्कुण्ठिताखण्डसुखात्मबोधः	aka्kauṇa्ṭhaitaākhaṇa्ḍasaukhaāta्mabaodhaḥ	aka-kau-a-haita-kha-a-asaukha-ta-mabaodha	अ		0	0	0
akha-a-a	अखण्डः	akhaṇa्ḍaḥ	akha-a-a	अ		0	0	0
aka-ta	अकृतः	akaṛtaḥ	aka-ta	अ		1	0	0
